list_id,product_type,brand,model,condition,warranty,color,origin
131486766,Máy giặt,,,1.0,,,
131628379,Máy giặt,,,1.0,,,
131654387,"Máy lạnh, điều hoà",,,2.0,,,
131691880,Máy giặt,,,1.0,,,
131691955,Máy giặt,,,1.0,,,
131692308,Máy giặt,,,1.0,,,
131692618,Máy giặt,,,1.0,,,
131692675,Máy giặt,,,1.0,,,
131701792,Máy giặt,,,1.0,,,
131761649,"Máy lạnh, điều hoà",,,2.0,,,
132004418,"Máy lạnh, điều hoà",,,1.0,,,
132262434,"Máy lạnh, điều hoà",,,1.0,,,
132576444,Tủ lạnh,,,1.0,,,
132701482,Tủ lạnh,,,1.0,,,
132735368,Tủ lạnh,,,1.0,,,
132735520,"Máy lạnh, điều hoà",,,1.0,,,
132762872,Tủ lạnh,,,1.0,,,
132826799,Máy giặt,,,1.0,,,
132826815,Máy giặt,,,1.0,,,
132826824,"Máy lạnh, điều hoà",,,1.0,,,
132826838,Tủ lạnh,,,1.0,,,
132826857,Tủ lạnh,,,1.0,,,
132826875,Tủ lạnh,,,1.0,,,
132827298,Máy giặt,,,1.0,,,
132828164,Tủ lạnh,,,1.0,,,
132828222,"Máy lạnh, điều hoà",,,1.0,,,
132828604,"Máy lạnh, điều hoà",,,1.0,,,
132828669,"Máy lạnh, điều hoà",,,1.0,,,
132829003,"Máy lạnh, điều hoà",,,1.0,,,
132829694,"Máy lạnh, điều hoà",,,1.0,,,
132829798,"Máy lạnh, điều hoà",,,1.0,,,
132831223,"Máy lạnh, điều hoà",,,1.0,,,
132831814,Máy giặt,,,1.0,,,
132832075,Tủ lạnh,,,1.0,,,
132832552,"Máy lạnh, điều hoà",,,1.0,,,
132833522,Máy giặt,,,1.0,,,
132834136,Tủ lạnh,,,1.0,,,
132834239,Tủ lạnh,,,1.0,,,
132835103,Tủ lạnh,,,1.0,,,
132838159,Tủ lạnh,,,1.0,,,
132838202,Tủ lạnh,,,1.0,,,
132838658,Tủ lạnh,,,1.0,,,
132839186,Tủ lạnh,,,1.0,,,
132839326,Tủ lạnh,,,1.0,,,
132840539,Máy giặt,,,1.0,,,
132842233,"Máy lạnh, điều hoà",,,1.0,,,
132842487,Tủ lạnh,,,1.0,,,
132843831,Máy giặt,,,1.0,,,
132843954,Máy giặt,,,1.0,,,
132844264,Tủ lạnh,,,1.0,,,
132844339,Tủ lạnh,,,1.0,,,
132844378,Tủ lạnh,,,1.0,,,
132844965,Tủ lạnh,,,1.0,,,
132845183,Tủ lạnh,,,1.0,,,
132846288,Tủ lạnh,,,1.0,,,
132846289,Tủ lạnh,,,1.0,,,
132846325,Tủ lạnh,,,1.0,,,
132846490,"Máy lạnh, điều hoà",,,1.0,,,
132846782,Tủ lạnh,,,1.0,,,
132846825,Tủ lạnh,,,1.0,,,
