list_id,product_type,brand,model,condition,warranty,color,origin
132407232,"Đồ sưu tầm, đồ cổ",,,2.0,,,
132525756,Nhạc cụ,,,1.0,,,
132752600,"Đồ sưu tầm, đồ cổ",,,1.0,,,
132773486,"Đồ thể thao, Dã ngoại",,,1.0,,,
132785744,"Đồ thể thao, Dã ngoại",,,1.0,,,
132792526,"Đồ thể thao, Dã ngoại",,,1.0,,,
132833674,"Đồ sưu tầm, đồ cổ",,,1.0,,,
132833915,"Đồ sưu tầm, đồ cổ",,,1.0,,,
132834052,Sở thích khác,,,1.0,,,
132834098,"Đồ sưu tầm, đồ cổ",,,1.0,,,
132834195,"Đồ thể thao, Dã ngoại",,,1.0,,,
132834462,Nhạc cụ,,,1.0,,,
132834478,"Đồ thể thao, Dã ngoại",,,1.0,,,
132834940,Sách,,,1.0,,,
132834959,Sách,,,1.0,,,
132834987,Sách,,,1.0,,,
132835037,Sách,,,1.0,,,
132835090,Sách,,,2.0,,,
132835112,Sách,,,2.0,,,
132835643,"Đồ sưu tầm, đồ cổ",,,1.0,,,
132836472,"Đồ thể thao, Dã ngoại",,,2.0,,,
132837015,"Đồ sưu tầm, đồ cổ",,,1.0,,,
132837080,Thiết bị chơi game,,,1.0,,,
132837680,Nhạc cụ,,,1.0,,,
132837954,"Đồ thể thao, Dã ngoại",,,1.0,,,
132838155,Sách,,,1.0,,,
132838359,Sở thích khác,,,1.0,,,
132838551,Sách,,,2.0,,,
132838739,Sách,,,2.0,,,
132838829,"Đồ thể thao, Dã ngoại",,,2.0,,,
132839187,"Đồ sưu tầm, đồ cổ",,,1.0,,,
132839514,"Đồ sưu tầm, đồ cổ",,,1.0,,,
132839669,Sách,,,1.0,,,
132839856,"Đồ thể thao, Dã ngoại",,,1.0,,,
132839873,"Đồ thể thao, Dã ngoại",,,1.0,,,
132841782,"Đồ thể thao, Dã ngoại",,,1.0,,,
132841803,Thiết bị chơi game,,,1.0,,,
132841850,"Đồ sưu tầm, đồ cổ",,,1.0,,,
132842231,Thiết bị chơi game,,,1.0,,,
132842414,Sở thích khác,,,2.0,,,
132842902,"Đồ sưu tầm, đồ cổ",,,1.0,,,
132843058,Thiết bị chơi game,,,1.0,,,
132843226,"Đồ sưu tầm, đồ cổ",,,1.0,,,
132843480,"Đồ sưu tầm, đồ cổ",,,2.0,,,
132843751,"Đồ sưu tầm, đồ cổ",,,1.0,,,
132844116,Thiết bị chơi game,,,2.0,,,
132844244,"Đồ thể thao, Dã ngoại",,,1.0,,,
132844417,Sách,,,1.0,,,
132844555,"Đồ thể thao, Dã ngoại",,,1.0,,,
132844584,Thiết bị chơi game,,,1.0,,,
132844842,Sở thích khác,,,1.0,,,
132845133,"Đồ thể thao, Dã ngoại",,,1.0,,,
132845515,"Đồ thể thao, Dã ngoại",,,1.0,,,
132845773,"Đồ thể thao, Dã ngoại",,,1.0,,,
132845947,Nhạc cụ,,,1.0,,,
132846091,"Đồ sưu tầm, đồ cổ",,,1.0,,,
132846281,Nhạc cụ,,,1.0,,,
132846710,Thiết bị chơi game,,,1.0,,,
132846844,Thiết bị chơi game,,,1.0,,,
