list_id,service_type,provider_type,price_unit
126339553,[1],,[2]
126868647,"[3, 1]",,[2]
127456389,[7],,[]
127532749,[7],,[]
127577804,[1],,[]
128132468,"[1, 7, 3, 2, 4]",,[]
128380739,"[7, 1]",,[]
129955856,"[3, 2]",,[2]
131258515,"[1, 5, 7]",,[]
131710380,[7],,[]
131734536,[1],,[]
131774688,[3],,[]
131827302,[7],,[]
131903167,[7],,[1]
132067355,[7],,[]
132165647,[7],,[]
132200398,[7],,[]
132208871,"[1, 3, 2]",,"[3, 5]"
132257311,"[1, 2, 4, 3, 5, 6]",,"[1, 2, 3, 4]"
132363332,[5],,[]
132365453,"[1, 2, 3]",,[]
132402495,[7],,[]
132509782,"[5, 2, 4]",,"[3, 4]"
132585086,[7],,[]
132651053,[7],,[]
132715046,[1],,[]
132753922,[7],,[]
132774906,[7],,[]
132795486,[7],,[]
