list_id,product_type,brand,model,condition,warranty,color,origin
132527956,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132527960,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132527974,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132541681,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132543416,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132543974,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132550480,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132554577,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132556835,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132558643,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132562686,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132568726,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132579823,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132600082,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132611542,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132613023,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132614087,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132623055,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132630941,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132631042,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132631108,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132639015,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132646220,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132656017,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132678424,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132687570,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132689295,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132690535,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132694850,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132701546,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132715032,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132715353,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132721694,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132738733,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132750972,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132751120,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132753472,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132773565,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132778722,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132778747,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132778829,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132778876,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132779921,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132788886,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132789579,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132795217,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132796922,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132802104,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132803304,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132809513,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132812894,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132813065,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132830958,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132835419,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132836424,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132838493,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132841483,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132841524,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132842306,"Đồ ăn, thực phẩm và các loại khác",,,,,,
132843721,"Đồ ăn, thực phẩm và các loại khác",,,,,,
