list_id,product_type,brand,model,condition,warranty,color,origin
102790428,Chó,,,,,,
119804165,Chó,,,,,,
121544028,Chó,,,,,,
121933871,Chó,,,,,,
122668352,Mèo,,,,,,
123692397,Chó,,,,,,
124675395,Chó,,,,,,
126630778,Chó,,,,,,
127248336,Chó,,,,,,
129101405,Chó,,,,,,
130749520,Chó,,,,,,
131018120,"Phụ kiện, Thức ăn, Dịch vụ",,,1.0,,,
131730256,Chó,,,,,,
131805324,Mèo,,,,,,
132115044,Mèo,,,,,,
132269122,Chó,,,,,,
132403449,Mèo,,,,,,
132443278,Mèo,,,,,,
132549028,Mèo,,,,,,
132567167,Chó,,,,,,
132648380,Chó,,,,,,
132668314,Chó,,,,,,
132700462,Chó,,,,,,
132725505,Mèo,,,,,,
132789882,Chó,,,,,,
132807836,Chó,,,,,,
132816585,Chó,,,,,,
132824016,Chó,,,,,,
132825919,Chó,,,,,,
132826302,Mèo,,,,,,
132828987,Mèo,,,,,,
132830382,Mèo,,,,,,
132839474,Chó,,,,,,
132840273,Mèo,,,,,,
132842342,Gà,,,,,,
132842602,"Phụ kiện, Thức ăn, Dịch vụ",,,1.0,,,
132842769,Chim,,,,,,
132842791,Chim,,,,,,
132842960,Mèo,,,,,,
132843181,Mèo,,,,,,
132843228,Chó,,,,,,
132843323,Mèo,,,,,,
132843339,Mèo,,,,,,
132843347,Mèo,,,,,,
132843658,Gà,,,,,,
132844000,Chim,,,,,,
132844195,Mèo,,,,,,
132844498,Mèo,,,,,,
132844736,Chó,,,,,,
132844830,Thú cưng khác,,,,,,
132845044,Mèo,,,,,,
132845572,Mèo,,,,,,
132846085,"Phụ kiện, Thức ăn, Dịch vụ",,,1.0,,,
132846209,Chim,,,,,,
132846409,Chó,,,,,,
132846416,"Phụ kiện, Thức ăn, Dịch vụ",,,2.0,,,
132846836,Chim,,,,,,
54508671,Chó,,,2.0,,,
91167751,Chó,,,,,,
91279128,Chó,,,,,,
