list_id,product_type,brand,model,condition,warranty,color,origin
132325868,Nước hoa,,,1.0,,,
132338489,Phụ kiện thời trang khác,,,2.0,,,
132778198,Túi xách,,,2.0,,,
132811207,Đồng hồ,,,1.0,,,
132813566,Phụ kiện thời trang khác,,,2.0,,,
132824620,Giày dép,,,1.0,,,
132845017,Giày dép,,,1.0,,,
132845030,Quần áo,,,1.0,,,
132845037,Giày dép,,,1.0,,,
132845050,Phụ kiện thời trang khác,,,2.0,,,
132845059,Giày dép,,,1.0,,,
132845073,Giày dép,,,1.0,,,
132845075,Quần áo,,,1.0,,,
132845149,Quần áo,,,1.0,,,
132845175,Quần áo,,,1.0,,,
132845259,Quần áo,,,1.0,,,
132845260,Quần áo,,,2.0,,,
132845354,Quần áo,,,1.0,,,
132845419,Đồng hồ,,,1.0,,,
132845455,Quần áo,,,2.0,,,
132845468,Phụ kiện thời trang khác,,,2.0,,,
132845476,Đồng hồ,,,1.0,,,
132845513,Quần áo,,,2.0,,,
132845545,Đồng hồ,,,1.0,,,
132845549,Túi xách,,,2.0,,,
132845587,Quần áo,,,1.0,,,
132845601,Đồng hồ,,,1.0,,,
132845613,Giày dép,,,2.0,,,
132845632,Giày dép,,,2.0,,,
132845653,Giày dép,,,1.0,,,
132845658,Giày dép,,,1.0,,,
132845676,Đồng hồ,,,1.0,,,
132845738,Quần áo,,,1.0,,,
132845740,Phụ kiện thời trang khác,,,1.0,,,
132845800,Giày dép,,,2.0,,,
132845835,Giày dép,,,1.0,,,
132845865,Giày dép,,,2.0,,,
132845892,Giày dép,,,1.0,,,
132845910,Giày dép,,,1.0,,,
132845930,Giày dép,,,1.0,,,
132846046,Quần áo,,,2.0,,,
132846096,Đồng hồ,,,1.0,,,
132846104,Giày dép,,,1.0,,,
132846148,Giày dép,,,1.0,,,
132846205,Giày dép,,,1.0,,,
132846252,Đồng hồ,,,1.0,,,
132846367,Phụ kiện thời trang khác,,,2.0,,,
132846394,Đồng hồ,,,1.0,,,
132846594,Nước hoa,,,1.0,,,
132846644,Giày dép,,,2.0,,,
132846653,Nước hoa,,,1.0,,,
132846670,Đồng hồ,,,1.0,,,
132846683,Giày dép,,,1.0,,,
132846690,Nước hoa,,,1.0,,,
132846738,Đồng hồ,,,2.0,,,
132846774,Phụ kiện thời trang khác,,,1.0,,,
132846776,Quần áo,,,1.0,,,
132846795,Phụ kiện thời trang khác,,,1.0,,,
132846831,Phụ kiện thời trang khác,,,1.0,,,
