list_id,product_type,brand,model,condition,warranty,color,origin
132505918,Mẹ và bé,,,1.0,,,
132555131,Mẹ và bé,,,1.0,,,
132613370,Mẹ và bé,,,1.0,,,
132712180,Mẹ và bé,,,1.0,,,
132754252,Mẹ và bé,,,1.0,,,
132779949,Mẹ và bé,,,1.0,,,
132788262,Mẹ và bé,,,1.0,,,
132789526,Mẹ và bé,,,1.0,,,
132790119,Mẹ và bé,,,1.0,,,
132790537,Mẹ và bé,,,1.0,,,
132790548,Mẹ và bé,,,1.0,,,
132791303,Mẹ và bé,,,1.0,,,
132791370,Mẹ và bé,,,1.0,,,
132795477,Mẹ và bé,,,1.0,,,
132795530,Mẹ và bé,,,1.0,,,
132796231,Mẹ và bé,,,1.0,,,
132796491,Mẹ và bé,,,1.0,,,
132799680,Mẹ và bé,,,1.0,,,
132800339,Mẹ và bé,,,1.0,,,
132802730,Mẹ và bé,,,2.0,,,
132802823,Mẹ và bé,,,2.0,,,
132804942,Mẹ và bé,,,1.0,,,
132805060,Mẹ và bé,,,1.0,,,
132805489,Mẹ và bé,,,1.0,,,
132806934,Mẹ và bé,,,1.0,,,
132808019,Mẹ và bé,,,1.0,,,
132808811,Mẹ và bé,,,1.0,,,
132810155,Mẹ và bé,,,2.0,,,
132812188,Mẹ và bé,,,2.0,,,
132812581,Mẹ và bé,,,1.0,,,
132816031,Mẹ và bé,,,2.0,,,
132819772,Mẹ và bé,,,2.0,,,
132819844,Mẹ và bé,,,1.0,,,
132819943,Mẹ và bé,,,1.0,,,
132819975,Mẹ và bé,,,1.0,,,
132821157,Mẹ và bé,,,1.0,,,
132822679,Mẹ và bé,,,1.0,,,
132823163,Mẹ và bé,,,1.0,,,
132823831,Mẹ và bé,,,1.0,,,
132824292,Mẹ và bé,,,1.0,,,
132825744,Mẹ và bé,,,1.0,,,
132825780,Mẹ và bé,,,2.0,,,
132827614,Mẹ và bé,,,1.0,,,
132828005,Mẹ và bé,,,1.0,,,
132828709,Mẹ và bé,,,1.0,,,
132830586,Mẹ và bé,,,2.0,,,
132830597,Mẹ và bé,,,1.0,,,
132830870,Mẹ và bé,,,1.0,,,
132833653,Mẹ và bé,,,1.0,,,
132835962,Mẹ và bé,,,2.0,,,
132837215,Mẹ và bé,,,1.0,,,
132841885,Mẹ và bé,,,1.0,,,
132844129,Mẹ và bé,,,2.0,,,
132844224,Mẹ và bé,,,1.0,,,
132844246,Mẹ và bé,,,2.0,,,
132844257,Mẹ và bé,,,1.0,,,
132844327,Mẹ và bé,,,1.0,,,
132844411,Mẹ và bé,,,1.0,,,
132844725,Mẹ và bé,,,1.0,,,
132846677,Mẹ và bé,,,1.0,,,
