list_id,attribute_id,attribute_value
101224138,regdate,2014
101224138,motorbiketype,Tay ga
101224138,condition_ad,Đã sử dụng
104119111,regdate,2022
104119111,motorbiketype,Tay côn/Moto
104119111,condition_ad,Đã sử dụng
111368138,regdate,2020
111368138,motorbiketype,Tay côn/Moto
111368138,condition_ad,Đã sử dụng
115867216,regdate,2024
115867216,motorbiketype,Xe số
115867216,condition_ad,Đã sử dụng
115874523,regdate,2020
115874523,motorbiketype,Tay ga
115874523,condition_ad,Đã sử dụng
120470110,regdate,2024
120470110,motorbiketype,Tay ga
120470110,condition_ad,Đã sử dụng
120947073,regdate,2010
120947073,motorbiketype,Tay ga
120947073,condition_ad,Đã sử dụng
121643723,regdate,2016
121643723,motorbiketype,Tay ga
121643723,condition_ad,Đã sử dụng
125752464,regdate,2012
125752464,motorbiketype,Tay ga
125752464,condition_ad,Đã sử dụng
126837258,mfdate,2026
126837258,fuel,Điện
126837258,gearbox,Tự động
126837258,condition_ad,Mới
127308420,regdate,2014
127308420,motorbiketype,Tay ga
127308420,condition_ad,Đã sử dụng
130017064,regdate,2023
130017064,motorbiketype,Tay côn/Moto
130017064,condition_ad,Đã sử dụng
130107988,mfdate,2026
130107988,fuel,Điện
130107988,gearbox,Tự động
130107988,condition_ad,Mới
130593605,regdate,2015
130593605,motorbiketype,Tay ga
130593605,condition_ad,Đã sử dụng
130775748,regdate,2015
130775748,motorbiketype,Tay ga
130775748,condition_ad,Đã sử dụng
130876252,mfdate,2013
130876252,mileage_v2,160000 km
130876252,fuel,Xăng
130876252,gearbox,Tự động
131078294,mfdate,2026
131078294,fuel,Điện
131078294,gearbox,Tự động
131078294,condition_ad,Mới
131738921,regdate,2024
131738921,motorbiketype,Tay ga
131738921,condition_ad,Đã sử dụng
131746240,regdate,2016
131746240,motorbiketype,Tay ga
131746240,condition_ad,Đã sử dụng
131764012,regdate,2012
131764012,motorbiketype,Tay ga
131764012,condition_ad,Đã sử dụng
131957281,regdate,2010
131957281,motorbiketype,Tay ga
131957281,condition_ad,Đã sử dụng
131970050,mfdate,2018
131970050,mileage_v2,80000 km
131970050,fuel,Dầu
131970050,gearbox,Tự động
132235268,regdate,2022
132235268,motorbiketype,Tay ga
132235268,condition_ad,Đã sử dụng
132428961,mfdate,2019
132428961,mileage_v2,82000 km
132428961,fuel,Xăng
132428961,gearbox,Tự động
132428961,number_of_owners,1 chủ
132449328,regdate,2022
132449328,motorbiketype,Tay ga
132449328,condition_ad,Đã sử dụng
132450206,regdate,2021
132450206,motorbiketype,Tay ga
132450206,condition_ad,Đã sử dụng
132595599,regdate,2019
132595599,motorbiketype,Tay ga
132595599,condition_ad,Đã sử dụng
132683706,regdate,2010
132683706,motorbiketype,Tay ga
132683706,condition_ad,Đã sử dụng
132771768,mfdate,2019
132771768,mileage_v2,92000 km
132771768,fuel,Xăng
132771768,gearbox,Tự động
132771768,number_of_owners,1 chủ
132790397,mfdate,2022
132790397,mileage_v2,85089 km
132790397,fuel,Xăng
132790397,gearbox,Tự động
132790397,number_of_owners,1 chủ
132791327,mfdate,2021
132791327,mileage_v2,72733 km
132791327,fuel,Xăng
132791327,gearbox,Tự động
