list_id,product_type,brand,model,condition,warranty,color,origin
120647505,Đồ dùng văn phòng,,,1.0,,,
131815957,Đồ dùng văn phòng,,,1.0,,,
132546279,"Đồ chuyên dụng, Giống nuôi trồng",,,2.0,,,
132673244,Đồ dùng văn phòng,,,1.0,,,
132774325,Đồ dùng văn phòng,,,2.0,,,
132828135,"Đồ chuyên dụng, Giống nuôi trồng",,,2.0,,,
132828314,"Đồ chuyên dụng, Giống nuôi trồng",,,2.0,,,
132828324,Đồ dùng văn phòng,,,1.0,,,
132828675,Đồ dùng văn phòng,,,1.0,,,
132828696,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132828714,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132829202,Đồ dùng văn phòng,,,1.0,,,
132829743,Đồ dùng văn phòng,,,1.0,,,
132830854,Đồ dùng văn phòng,,,1.0,,,
132830924,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132830940,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132831067,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132831088,"Đồ chuyên dụng, Giống nuôi trồng",,,2.0,,,
132832255,Đồ dùng văn phòng,,,2.0,,,
132832662,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132832973,Đồ dùng văn phòng,,,1.0,,,
132833355,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132833628,Đồ dùng văn phòng,,,1.0,,,
132833639,Đồ dùng văn phòng,,,1.0,,,
132833749,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132834486,Đồ dùng văn phòng,,,1.0,,,
132834745,Đồ dùng văn phòng,,,1.0,,,
132835376,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132835439,Đồ dùng văn phòng,,,1.0,,,
132836061,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132837225,Đồ dùng văn phòng,,,1.0,,,
132837231,Đồ dùng văn phòng,,,1.0,,,
132837618,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132838320,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132838803,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132839037,"Đồ chuyên dụng, Giống nuôi trồng",,,2.0,,,
132839168,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132839337,"Đồ chuyên dụng, Giống nuôi trồng",,,2.0,,,
132839545,"Đồ chuyên dụng, Giống nuôi trồng",,,2.0,,,
132839665,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132840919,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132841752,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132842577,Đồ dùng văn phòng,,,1.0,,,
132842696,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132842767,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132843606,"Đồ chuyên dụng, Giống nuôi trồng",,,2.0,,,
132843787,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132843789,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132843865,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132844061,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132844545,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132845286,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132845294,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132845581,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132845806,Đồ dùng văn phòng,,,1.0,,,
132846059,Đồ dùng văn phòng,,,1.0,,,
132846165,Đồ dùng văn phòng,,,1.0,,,
132846392,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132846641,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132846817,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
