list_id,product_type,brand,model,condition,warranty,color,origin
105254168,101,,,2.0,,,
113280049,2,,,1.0,,,
131463454,6,,,2.0,,,
131495059,6,,,2.0,,,
132198568,"Nội thất, đồ gia dụng khác",,,2.0,,,
132828725,7,,,1.0,,,
132843345,"Nội thất, đồ gia dụng khác",,,2.0,,,
132843371,"Nội thất, đồ gia dụng khác",,,2.0,,,
132843433,2,,,2.0,,,
132843502,"Nội thất, đồ gia dụng khác",,,1.0,,,
132843514,101,,,1.0,,,
132843554,7,,,1.0,,,
132843585,101,,,2.0,,,
132843617,101,,,1.0,,,
132843622,7,,,2.0,,,
132843629,13,,,2.0,,,
132843639,5,,,1.0,,,
132843647,"Nội thất, đồ gia dụng khác",,,2.0,,,
132843723,13,,,1.0,,,
132843734,101,,,1.0,,,
132843936,1,,,1.0,,,
132844005,4,,,1.0,,,
132844087,101,,,1.0,,,
132844125,16,,,1.0,,,
132844169,7,,,1.0,,,
132844174,101,,,1.0,,,
132844293,2,,,2.0,,,
132844565,101,,,1.0,,,
132844629,6,,,1.0,,,
132844662,3,,,1.0,,,
132844677,"Nội thất, đồ gia dụng khác",,,1.0,,,
132844711,2,,,1.0,,,
132844723,"Nội thất, đồ gia dụng khác",,,1.0,,,
132844839,7,,,1.0,,,
132844902,"Nội thất, đồ gia dụng khác",,,1.0,,,
132844922,7,,,1.0,,,
132844989,101,,,1.0,,,
132845126,9,,,1.0,,,
132845229,6,,,1.0,,,
132845337,7,,,1.0,,,
132845346,101,,,1.0,,,
132845394,"Nội thất, đồ gia dụng khác",,,1.0,,,
132845817,101,,,1.0,,,
132845878,"Nội thất, đồ gia dụng khác",,,1.0,,,
132846076,"Nội thất, đồ gia dụng khác",,,1.0,,,
132846093,3,,,1.0,,,
132846182,101,,,1.0,,,
132846204,2,,,1.0,,,
132846234,2,,,2.0,,,
132846291,2,,,1.0,,,
132846298,13,,,1.0,,,
132846334,7,,,1.0,,,
132846414,"Nội thất, đồ gia dụng khác",,,1.0,,,
132846438,101,,,1.0,,,
132846449,2,,,1.0,,,
132846532,"Nội thất, đồ gia dụng khác",,,2.0,,,
132846598,1,,,1.0,,,
132846631,8,,,1.0,,,
132846643,9,,,1.0,,,
132846682,2,,,1.0,,,
